operation,target,to,where,exec_time(nanoSec)
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_raovpssacm,New-Node_rglxtqterw,759655070
UMLCloneNode,BarCodeScanner,BarCodeScanner_tkfseviuam,,575034729
UMLCloneNode,EnterpriseClient,EnterpriseClient_pohmizfwve,,598009076
Move_Operation_Component,printRunningTotal,ScannerController,,308897518
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_raovpssacm,New-Node_rglxtqterw,754369400
UMLCloneNode,BarCodeScanner,BarCodeScanner_tkfseviuam,,536645146
UMLCloneNode,New-Node_rgkxwwmlsn,New-Node_rgkxwwmlsn_bhamjxjydn,,249510324
Move_Operation_Component,printRunningTotal,ScannerController,,269621583
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_raovpssacm,New-Node_rglxtqterw,639237181
UMLCloneNode,BarCodeScanner,BarCodeScanner_tkfseviuam,,478448755
UMLCloneNode,Printer,Printer_bqtqafuldd,,563798530
UMLCloneNode,CashDeskPC,CashDeskPC_wgbgrdqcue,,466944754
UMLCloneNode,CashDeskPC_wgbgrdqcue,CashDeskPC_wgbgrdqcue_oyipdzaaqk,,462721014
UMLCloneNode,EnterpriseServer,EnterpriseServer_nqyupyoowx,,464460296
UMLCloneNode,Printer,Printer_bqtqafuldd,,521652404
UMLCloneNode,CashDeskPC,CashDeskPC_wgbgrdqcue,,456133282
UMLCloneNode,CashDeskPC_wgbgrdqcue,CashDeskPC_wgbgrdqcue_oyipdzaaqk,,601398492
UMLCloneNode,EnterpriseServer,EnterpriseServer_nqyupyoowx,,569175642
Move_Operation_New_Component_New_Node,rollInReceivedOrder,New-Component_vdnhhjigyu,New-Node_jwbfgonltf,682707449
Move_Operation_Component,printRunningTotal,ScannerController,,274845338
Move_Operation_New_Component_New_Node,enterOrderID,New-Component_raovpssacm,New-Node_rglxtqterw,772901678
UMLCloneNode,BarCodeScanner,BarCodeScanner_tkfseviuam,,446983737
Move_Operation_New_Component_New_Node,scanProduct,New-Component_kqogevupqt,New-Node_dvsmpwsjmt,707843702
Move_Operation_Component,printRunningTotal,Persistence,,283122459
